Title,Url,Keywords,Match Similar Keywords,State,Description,Reserved Keywords,Categories,Start Date,End Date,Country/Region,Groups,Device & OS,Targeted Variations,Last Modified,Last Modified By,Id
Intrazone Podcast,https://intrazone.libsyn.com/,podcast,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,29752ed7-5d2a-4894-a51a-eabfea8f94fc
Microsoft 365 Community Initiatives,https://pnp.github.io/,community,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,8f8da478-8bda-4d2d-a0b9-53bcea093d6b
PnP Weekly,https://pnpweekly.podbean.com/,podcast,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,996361cf-e723-4a93-a6f0-e746858c624d
Tech Community Hub,https://techcommunity.microsoft.com/t5/sharepoint/ct-p/SharePoint,community questions and answers,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,9a842669-4b90-48b4-9aa6-af0ee5e40660
Collab Days,https://www.collabdays.org/,community events,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,a5c90ad6-90d9-4c28-b0b3-b528c08fef03
Collab Summit,https://www.collabsummit.eu/en/,conference,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,a60cf660-177a-4d82-84b2-1fddf2378d01
Collab365,https://today.collab365.com/,community articles,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,b480261e-4776-4e29-b391-364b92d75889
Microsoft Cloud Show,https://www.microsoftcloudshow.com/,podcast,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,cec81f6e-975c-402b-81a5-c678336f7342
PnP Community Calls,https://pnp.github.io/#community,community calls,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,f4406092-8a26-44a4-b938-b81a8552ade0
SharePoint Blogs,https://techcommunity.microsoft.com/t5/microsoft-sharepoint-blog/bg-p/SPBlog,sharepoint;blogs,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,01a854ae-f398-44b2-8cdf-a98d35dfb008
GreyHatBeard,https://www.greyhatbeard.com/,podcast,TRUE,published,,,,,,,,,,03/27/2021,admin@{your-tenant-name}.onmicrosoft.com,1a71ba4e-50c3-486a-bb16-83d622140206
